City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Portland,US,79.45,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
500,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
502,Marsh Harbour,BS,83.75,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
508,Xining,CN,81.63,broken clouds,36.6167,101.7667,Super Leisure Hotel
512,Ust-Tarka,RU,76.46,few clouds,55.5672,75.705,Pearl of Siberia
514,Minatitlan,MX,77.02,overcast clouds,17.9833,-94.5167,Grand Regency Express
515,Sawakin,SD,91.22,scattered clouds,19.1059,37.3321,فندق الدويم
516,Baneasa,RO,79.75,clear sky,44.0461,26.0642,
519,Calamar,CO,78.75,broken clouds,10.2511,-74.9146,Hostal Katyalex
520,Bodden Town,KY,81.93,overcast clouds,19.2833,-81.25,Will T Place
523,Muli,MV,82.76,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
527,Teluk Nibung,ID,86.41,overcast clouds,3.001,99.8164,Hotel Assyifa
532,Biak,ID,81.77,few clouds,-0.9131,122.8766,Penginapan Kim
534,Ahuimanu,US,82.11,clear sky,21.4447,-157.8378,Paradise Bay Resort
536,Atar,MR,83.43,broken clouds,20.5169,-13.0499,Oumou Elghoura
538,Japura,ID,92.53,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
540,Batticaloa,LK,87.21,overcast clouds,7.7102,81.6924,Grand Star Guest House
544,Selma,US,91.45,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
550,Kathmandu,NP,79.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
553,Basco,PH,81.73,moderate rain,20.4487,121.9702,Nathaniel's Lodge
557,Navalgund,IN,77.76,overcast clouds,15.5667,75.3667,Naveen Park Hotel
559,Sangar,RU,81.61,broken clouds,63.9242,127.4739,
561,Ambilobe,MG,75.33,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
562,Bambanglipuro,ID,82.33,broken clouds,-7.95,110.2833,Puri Brata
563,Nurota,UZ,84.29,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
564,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
566,Gouyave,GD,79.45,clear sky,12.1646,-61.7296,Rumboat Retreat
567,Liku,ID,85.59,scattered clouds,-0.7275,119.8922,Wahyu
571,Kudahuvadhoo,MV,82.2,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
572,Atambua,ID,85.23,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
574,Careiro Da Varzea,BR,83.01,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
