,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Viedma,AR,-40.8135,-62.9967,50.65,52,10,18.75,clear sky
118,Coahuayana,MX,18.7333,-103.6833,79.75,87,69,0.54,broken clouds
119,Broken Hill,AU,-31.95,141.4333,62.83,38,19,18.39,few clouds
120,Cherskiy,RU,68.75,161.3,44.91,65,71,21.34,broken clouds
121,Torbay,CA,47.6666,-52.7314,59.29,93,48,3.0,scattered clouds
122,Orahovac,XK,42.3994,20.6547,80.92,36,0,1.95,clear sky
123,Maloy,NO,61.9353,5.1136,54.07,80,17,16.49,few clouds
124,Kodinsk,RU,58.6881,99.1844,70.27,58,100,5.46,overcast clouds
125,Yukamenskoye,RU,57.8865,52.2416,67.32,71,90,9.71,overcast clouds
126,Beidao,CN,34.5686,105.8933,95.14,20,5,15.37,clear sky
127,Yar-Sale,RU,66.8333,70.8333,55.31,98,100,11.45,light rain
128,Ucluelet,CA,48.9329,-125.5528,72.05,89,11,1.01,few clouds
129,Takoradi,GH,4.8845,-1.7554,74.08,92,7,4.32,clear sky
130,Georgetown,MY,5.4112,100.3354,89.89,70,20,1.01,few clouds
131,Sarankhola,BD,22.3082,89.7897,80.96,90,100,3.58,overcast clouds
132,Mount Gambier,AU,-37.8333,140.7667,58.91,58,75,17.27,broken clouds
133,Aswan,EG,24.0934,32.907,92.43,15,30,5.61,scattered clouds
134,East London,ZA,-33.0153,27.9116,58.14,94,75,17.27,moderate rain
135,Det Udom,TH,14.906,105.0784,92.03,67,99,11.45,overcast clouds
136,Zhuji,CN,29.7188,120.2423,93.11,71,46,6.6,scattered clouds
137,Lagoa,PT,39.05,-27.9833,72.07,94,100,12.53,overcast clouds
138,At-Bashi,KG,41.1702,75.8106,66.63,48,100,6.2,overcast clouds
139,Dalaba,GN,10.7,-12.25,61.79,99,100,2.77,moderate rain
140,Halden,NO,59.1226,11.3871,54.34,83,100,10.67,overcast clouds
141,Qaqortoq,GL,60.7167,-46.0333,54.1,96,100,6.04,moderate rain
142,Kieta,PG,-6.2167,155.6333,81.57,83,30,5.79,light rain
143,Tromso,NO,69.6496,18.957,47.05,81,75,1.01,broken clouds
144,Te Anau,NZ,-45.4167,167.7167,43.45,94,100,4.85,moderate rain
145,Axim,GH,4.8699,-2.2405,74.73,90,7,2.28,clear sky
146,Awbari,LY,26.5921,12.7805,81.34,14,1,5.64,clear sky
147,Hambantota,LK,6.1241,81.1185,88.14,70,20,16.11,few clouds
148,Haines Junction,CA,60.7522,-137.5108,69.75,48,72,4.07,broken clouds
149,Namatanai,PG,-3.6667,152.4333,81.88,79,36,8.68,light rain
