City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Ahipara,NZ,2021-27-27 09:30:25,-35.1667,173.1667,54.57,74,7,11.34
119,Skibbereen,IE,2021-27-27 09:30:26,51.55,-9.2667,60.6,64,95,12.15
120,High Level,CA,2021-27-27 09:30:26,58.5169,-117.136,50.11,93,1,5.75
121,Petropavlovsk-Kamchatskiy,RU,2021-27-27 09:30:26,53.0452,158.6483,68.59,68,75,17.9
122,Faya,SA,2021-27-27 09:30:27,18.3851,42.4509,75.31,47,87,6.33
123,Gallup,US,2021-27-27 09:30:27,35.5281,-108.7426,63.36,82,1,0.0
124,Hobart,AU,2021-27-27 09:28:03,-42.8794,147.3294,55.26,65,40,1.01
125,Saint Anthony,US,2021-27-27 09:30:05,45.0205,-93.218,78.82,63,1,6.91
126,Upernavik,GL,2021-27-27 09:30:28,72.7868,-56.1549,49.69,78,98,5.73
127,Fochville,ZA,2021-27-27 09:30:28,-26.4886,27.4939,55.02,25,0,5.46
128,Namibe,AO,2021-27-27 09:29:58,-15.1961,12.1522,77.47,40,0,2.37
129,Burnie,AU,2021-27-27 09:30:29,-41.0667,145.9167,56.91,79,100,18.99
130,Amarante Do Maranhao,BR,2021-27-27 09:30:29,-5.5667,-46.7422,69.93,63,5,1.16
131,Ponta Do Sol,PT,2021-27-27 09:30:06,32.6667,-17.1,77.72,73,9,2.77
132,Conde,BR,2021-27-27 09:30:30,-7.2597,-34.9075,69.26,100,20,6.91
133,Ixtapa,MX,2021-27-27 09:28:34,20.7,-105.2,74.44,81,52,4.27
134,Lebu,CL,2021-27-27 09:30:31,-37.6167,-73.65,44.19,77,2,19.51
135,Mugumu,TZ,2021-27-27 09:30:31,-1.85,34.7,84.47,26,32,2.48
136,Fairbanks,US,2021-27-27 09:30:31,64.8378,-147.7164,62.6,69,90,9.22
137,Faanui,PF,2021-27-27 09:30:32,-16.4833,-151.75,78.42,73,71,8.3
138,Fortuna Foothills,US,2021-27-27 09:30:32,32.6578,-114.4119,85.48,56,1,3.44
139,Kruisfontein,ZA,2021-27-27 09:30:15,-34.0033,24.7314,75.87,21,0,25.77
140,Dunda,TZ,2021-27-27 09:30:33,-8.1167,34.25,78.69,21,17,6.33
141,Mount Gambier,AU,2021-27-27 09:27:58,-37.8333,140.7667,57.11,67,75,17.27
142,Golden,US,2021-27-27 09:28:47,39.7555,-105.2211,70.75,49,1,1.99
143,Safaga,EG,2021-27-27 09:30:33,26.7292,33.9365,93.69,46,2,17.9
144,Bonnyville,CA,2021-27-27 09:30:34,54.2668,-110.735,63.72,94,69,2.24
145,Bandarbeyla,SO,2021-27-27 09:30:34,9.4942,50.8122,89.17,43,47,27.54
